id,title,genres,popularity,release_date,budget,revenue,vote_average
608,Men in Black II,Action-Adventure-Comedy-Science Fiction,40.796,2002/7/3,140000000,445135288,6.3
479455,Men in Black: International,Comedy-Science Fiction,50.242,2019/6/12,110000000,252608480,6
85621,Men in Hope,Comedy-Romance,14.381,2011/8/25,1130710,6638849,7.5
11978,Men of Honor,Drama,32.107,2000/9/13,82343495,48814909,7.4
34341,Men with Brooms,Comedy,3.007,2002/9/20,7500000,4245870,5.1
9516,Menace II Society,Drama-Crime,18.087,1993/5/26,3500000,27900000,7.5
8838,Mercury Rising,Action-Crime-Drama-Thriller,20.114,1998/4/3,60000000,93107289,6.2
74458,Mere Brother Ki Dulhan,Drama-Comedy-Romance,4.621,2011/9/9,5510000,18050000,6.2
455470,Meri Pyaari Bindu,Drama-Romance,3.103,2017/5/11,3014770,2437852,6.2
73576,Mermaid,Comedy-Drama-Fantasy-Romance,3.092,2007/6/5,1700000,1431983,6.5
4587,Mermaids,Comedy-Drama-Romance,12,1990/12/14,31000000,35419397,6.8
623625,Merry Gentlemen,Comedy,0.6,2016/9/26,1000,2000,0
301355,Message from the King,Thriller,11.462,2016/5/10,10000000,315132,6.3
10207,Message in a Bottle,Romance-Drama,13.086,1999/2/22,80000000,118880016,6.2
541526,Messengers,Horror-Drama-Science Fiction,1.628,2004/6/27,200000000,5224221,5
193613,Metallica: Through the Never,Music,15.311,2013/9/25,18000000,7972967,6.8
174733,Metro,Action-Thriller,7.972,2013/2/21,13000000,4463059,6.7
9606,Metropolis,Animation-Science Fiction,26.174,2001/5/26,15000000,4035192,7
15389,Metropolitan,Comedy-Drama-Romance,8.223,1990/8/3,225000,2900000,6.9
364083,Mi America,Drama-Crime,0.6,2015/10/16,2100000,3330,0
498248,Mia and the White Lion,Adventure-Family-Drama,21.214,2018/8/2,9600000,35487190,7.3
82,Miami Vice,Action-Crime-Thriller,15.328,2006/7/27,135000000,163794509,5.9
4566,Michael Clayton,Drama-Thriller,12.288,2007/7/12,25000000,92991835,6.8
1770,Michael Collins,War-Drama-Thriller-History,9.921,1996/10/25,25000000,16900000,6.9
54807,Mickey,Drama-Family,2.063,2004/5/2,6000000,293793,4.9
10154,Mickey Blue Eyes,Comedy-Crime-Romance,8.049,1999/8/16,75000000,54264342,5.6
27936,Micmacs,Action-Comedy-Crime,12.388,2009/10/28,33000000,14000000,6.6
437586,mid90s,Drama-Comedy,15.032,2018/10/19,258158,6897446,7.5
83588,Middle of Nowhere,Drama,2.345,2012/10/12,2000000,2368060,6.7
369883,Middle School: The Worst Years of My Life,Family-Comedy,11.527,2016/10/7,8500000,23316139,6.9
253098,Midget Zombie Takeover,Horror-Comedy,1.677,2013/2/8,2000,10604,5.3
59436,Midnight in Paris,Fantasy-Comedy-Romance,19.346,2011/5/11,17000000,151119219,7.5
8197,Midnight in the Garden of Good and Evil,Crime-Drama-Mystery-Thriller,7.957,1997/11/21,35000000,25105255,6.4
245703,Midnight Special,Adventure-Drama-Science Fiction,13.735,2016/2/12,18000000,6740647,6.2
826408,Midnight Sun,Documentary-Music,1.398,2021/5/7,100,100,0
